epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6839,0.95295,3.22745,1.53676,0.00471,0.96875,0.21851,0.16462,0.67869,3.8302,1.50861,0.000125,0.000125,0.000125
2,89.8258,0.79571,2.9973,1.42915,0.00478,0.92708,0.35486,0.25489,0.77076,3.80596,1.68387,0.000260768,0.000260768,0.000260768
3,133.233,0.73399,2.70251,1.35542,0.00603,0.92708,0.40747,0.25629,0.91041,3.83821,1.65207,0.00039472,0.00039472,0.00039472
4,175.785,0.78219,2.30833,1.38957,0.00496,0.95833,0.51962,0.35059,0.91139,3.70944,1.69098,0.000526857,0.000526857,0.000526857
5,217.819,0.88339,1.98564,1.46688,0.0041,0.90625,0.51914,0.3769,0.97716,3.69747,1.78498,0.00065718,0.00065718,0.00065718
6,259.611,0.87342,1.84005,1.45332,0.82782,0.22478,0.49723,0.23651,1.45329,3.64372,2.38682,0.000785687,0.000785687,0.000785687
7,299.981,0.83855,1.70296,1.41665,0.59919,0.29439,0.38412,0.18922,1.31096,3.34167,2.33493,0.00091238,0.00091238,0.00091238
8,340.791,0.77702,1.51115,1.38022,0.39122,0.19275,0.10567,0.02997,2.40842,4.0694,3.45885,0.00103726,0.00103726,0.00103726
9,380.532,0.86387,1.49916,1.46161,0.79438,0.19792,0.40376,0.20654,1.14153,3.30442,2.36897,0.00116032,0.00116032,0.00116032
10,420.794,0.83054,1.50253,1.41897,0.62133,0.51667,0.42071,0.20983,1.25814,3.05586,2.21411,0.00117575,0.00117575,0.00117575
11,461.737,0.76623,1.37416,1.36179,0.65195,0.40313,0.44725,0.25986,1.41172,3.12925,2.46701,0.0011675,0.0011675,0.0011675
12,501.533,0.77703,1.34723,1.36744,0.27718,0.40526,0.34729,0.14826,1.1066,3.16171,2.18309,0.00115925,0.00115925,0.00115925
13,542.022,0.84636,1.37183,1.43199,0.26863,0.29537,0.30615,0.08611,1.52125,3.54657,2.79856,0.001151,0.001151,0.001151
14,582.294,0.77621,1.29751,1.39093,0.31868,0.16234,0.0922,0.0165,3.11034,4.07245,4.3318,0.00114275,0.00114275,0.00114275
15,623.628,0.80254,1.22442,1.37935,0.42415,0.39583,0.39568,0.24889,1.72048,3.08281,2.88826,0.0011345,0.0011345,0.0011345
